Year,Name,Release year,Rank,Average,Bayes average,Users rated
2017,Pandemic Legacy: Season 1,2015,1,8.65,8.45,13827
2017,Through the Ages: A New Story of Civilization,2015,2,8.8,8.285,5287
2017,Twilight Struggle,2005,3,8.36,8.226,25420
2017,Terra Mystica,2012,4,8.29,8.151,21506
2017,Star Wars: Rebellion,2016,5,8.57,8.071,5794
2017,Scythe,2016,6,8.37,8.043,9548
2017,Caverna: The Cave Farmers,2013,7,8.21,8.03,15142
2017,7 Wonders Duel,2015,8,8.21,8.016,15367
2017,Puerto Rico,2002,9,8.1,8,45911
2017,The Castles of Burgundy,2011,10,8.11,7.993,22750
2018,Gloomhaven,2017,1,9.05,8.506,8702
2018,Pandemic Legacy: Season 1,2015,2,8.66,8.496,22688
2018,Through the Ages: A New Story of Civilization,2015,3,8.67,8.325,10281
2018,Twilight Struggle,2005,4,8.35,8.211,29577
2018,Star Wars: Rebellion,2016,5,8.5,8.167,11352
2018,Terraforming Mars,2016,6,8.38,8.164,19068
2018,Terra Mystica,2012,7,8.27,8.126,27188
2018,Scythe,2016,8,8.29,8.087,23384
2018,7 Wonders Duel,2015,9,8.16,8.011,27190
2018,The Castles of Burgundy,2011,10,8.11,8,28662
2019,Gloomhaven,2017,1,8.92,8.619,21071
2019,Pandemic Legacy: Season 1,2015,2,8.65,8.493,28975
2019,Through the Ages: A New Story of Civilization,2015,3,8.56,8.277,14330
2019,Terraforming Mars,2016,4,8.39,8.226,33315
2019,Twilight Struggle,2005,5,8.33,8.184,33071
2019,Star Wars: Rebellion,2016,6,8.46,8.166,15247
2019,Scythe,2016,7,8.29,8.112,35210
2019,Gaia Project,2017,8,8.59,8.099,7578
2019,Great Western Trail,2016,9,8.29,8.069,16864
2019,Terra Mystica,2012,10,8.21,8.062,31275
2020,Gloomhaven,2017,1,8.85,8.585,30651
2020,Pandemic Legacy: Season 1,2015,2,8.63,8.472,34396
2020,Terraforming Mars,2016,3,8.42,8.263,47465
2020,Through the Ages: A New Story of Civilization,2015,4,8.5,8.239,18055
2020,Brass: Birmingham,2018,5,8.62,8.196,9674
2020,Twilight Imperium (Fourth Edition),2017,6,8.69,8.167,9189
2020,Twilight Struggle,2005,7,8.31,8.162,36460
2020,Star Wars: Rebellion,2016,8,8.43,8.155,18750
2020,Gaia Project,2017,9,8.51,8.14,11815
2020,Scythe,2016,10,8.26,8.099,45933
2021,Gloomhaven,2017,1,8.8,8.557,40340
2021,Pandemic Legacy: Season 1,2015,2,8.62,8.466,40478
2021,Brass: Birmingham,2018,3,8.66,8.356,17723
2021,Terraforming Mars,2016,4,8.43,8.283,62147
2021,Twilight Imperium: Fourth Edition,2017,5,8.7,8.242,12850
2021,Through the Ages: A New Story of Civilization,2015,6,8.43,8.195,22386
2021,Gaia Project,2017,7,8.49,8.167,15681
2021,Star Wars: Rebellion,2016,8,8.42,8.163,22382
2021,Twilight Struggle,2005,9,8.3,8.138,40171
2021,Great Western Trail,2016,10,8.29,8.117,28373
2022,Gloomhaven,2017,1,8.74,8.51,47585
2022,Pandemic Legacy: Season 1,2015,2,8.6,8.444,44898
2022,Brass: Birmingham,2018,3,8.67,8.417,25253
2022,Terraforming Mars,2016,4,8.42,8.273,73796
2022,Twilight Imperium: Fourth Edition,2017,5,8.68,8.26,15930
2022,Gloomhaven: Jaws of the Lion,2020,6,8.69,8.253,15582
2022,Gaia Project,2017,7,8.48,8.177,19045
2022,Star Wars: Rebellion,2016,8,8.42,8.172,25458
2022,Through the Ages: A New Story of Civilization,2015,9,8.39,8.152,25517
2022,War of the Ring: Second Edition,2012,10,8.51,8.134,15405
2023,Gloomhaven,2017,1,8.68,8.446,53972
2023,Brass: Birmingham,2018,2,8.65,8.432,32895
2023,Pandemic Legacy: Season 1,2015,3,8.57,8.415,48571
2023,Ark Nova,2021,4,8.57,8.28,22224
2023,Twilight Imperium: Fourth Edition,2017,5,8.65,8.252,19106
2023,Terraforming Mars,2016,6,8.39,8.247,84639
2023,Gloomhaven: Jaws of the Lion,2020,7,8.56,8.235,24655
2023,Star Wars: Rebellion,2016,8,8.42,8.169,28422
2023,War of the Ring: Second Edition,2011,9,8.52,8.161,17831
2023,Spirit Island,2017,10,8.37,8.157,40317
2024,Brass: Birmingham,2018,1,8.61,8.421,42452
2024,Pandemic Legacy: Season 1,2015,2,8.53,8.386,52159
2024,Gloomhaven,2017,3,8.61,8.371,60543
2024,Ark Nova,2021,4,8.53,8.322,37900
2024,Twilight Imperium: Fourth Edition,2017,5,8.61,8.241,22355
2024,Terraforming Mars,2016,6,8.37,8.221,94742
2024,Dune: Imperium,2020,7,8.42,8.211,40376
2024,Gloomhaven: Jaws of the Lion,2020,8,8.47,8.186,31915
2024,War of the Ring: Second Edition,2011,9,8.53,8.181,20274
2024,Star Wars: Rebellion,2016,10,8.42,8.17,31258
